Date,Open,High,Low,Close,Volume
10-Feb-15,92.79,93.69,92.21,93.58,40167
9-Feb-15,91.00,91.62,90.48,91.00,69650
6-Feb-15,93.58,93.75,92.49,92.62,35509
5-Feb-15,94.73,95.27,93.74,95.25,46391
4-Feb-15,93.30,94.89,93.14,93.75,53761
3-Feb-15,93.99,94.87,93.68,94.85,102035
2-Feb-15,91.23,92.46,90.91,92.17,165622
30-Jan-15,90.52,91.23,90.04,90.11,117462
29-Jan-15,90.25,91.68,90.23,91.40,56290
28-Jan-15,90.20,90.95,88.88,89.00,45222
27-Jan-15,89.91,90.30,89.15,89.85,49052
26-Jan-15,90.96,91.82,90.60,91.50,68732
23-Jan-15,89.19,90.03,88.97,89.23,79278
22-Jan-15,86.90,88.70,86.68,88.28,62702
21-Jan-15,86.11,87.30,86.01,86.88,44050
20-Jan-15,86.46,86.81,86.00,86.80,49448
16-Jan-15,84.83,87.04,84.70,86.75,81431
15-Jan-15,84.96,85.22,83.92,84.00,84957
14-Jan-15,84.48,85.06,80.53,84.53,53467
13-Jan-15,85.15,85.76,83.32,84.43,40627
12-Jan-15,83.86,84.00,82.53,83.73,31606
9-Jan-15,83.41,83.69,81.69,82.73,63766
8-Jan-15,81.11,82.77,81.09,82.60,43125
7-Jan-15,80.15,80.61,78.93,80.39,37251
6-Jan-15,80.21,81.06,79.35,79.43,26345
5-Jan-15,80.28,80.37,78.69,79.15,44651
2-Jan-15,82.80,83.11,82.17,82.88,25072
31-Dec-14,83.72,84.12,82.40,82.40,29868
30-Dec-14,84.49,84.49,83.32,83.51,31845
29-Dec-14,84.45,85.42,84.45,84.87,41628
26-Dec-14,85.33,85.91,85.20,85.60,25692
24-Dec-14,85.00,85.71,84.77,85.50,23249
23-Dec-14,84.95,85.33,84.66,85.21,38871
22-Dec-14,85.10,85.53,84.69,85.53,48836
19-Dec-14,84.27,85.40,83.84,84.72,47747
18-Dec-14,84.32,85.04,83.91,85.01,42846
17-Dec-14,82.97,84.68,82.97,84.02,36910
16-Dec-14,81.37,83.88,81.06,82.71,51615
15-Dec-14,83.34,83.63,80.28,80.75,43365
